region_id,size_rank,city,state,Q1_2020,Q2_2020,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021,Q4_2021,Q1_2022,Q2_2022,Q3_2022,Q4_2022,Q1_2023,4/30/2023
394908,68,New Haven,CT,0.68,0.59,0.52,0.42,0.44,0.34,0.26,0.34,0.36,0.24,0.24,0.36,0.40,0.36
394561,69,El Paso,TX,0.27,0.34,0.33,0.28,0.35,0.34,0.25,0.26,0.29,0.24,0.24,0.35,0.41,0.38
394318,70,Allentown,PA,0.60,0.56,0.50,0.38,0.37,0.30,0.23,0.26,0.29,0.23,0.23,0.33,0.41,0.38
394952,71,Oxnard,CA,0.59,0.53,0.50,0.39,0.32,0.21,0.19,0.24,0.24,0.16,0.35,0.55,0.58,0.47
394486,72,Columbia,SC,0.65,0.64,0.62,0.51,0.50,0.33,0.28,0.36,0.41,0.26,0.32,0.52,0.56,0.52
753906,73,North Port,FL,0.81,0.79,0.77,0.71,0.65,0.33,0.33,0.35,0.35,0.29,0.46,0.68,0.72,0.69
845158,74,Dayton,OH,0.57,0.49,0.42,0.42,0.44,0.33,0.27,0.33,0.38,0.27,0.29,0.43,0.51,0.46
394457,75,Charleston,SC,0.66,0.62,0.59,0.55,0.51,0.37,0.30,0.35,0.36,0.26,0.31,0.51,0.60,0.56
394648,76,Greensboro,NC,0.58,0.54,0.47,0.41,0.39,0.29,0.24,0.29,0.30,0.21,0.27,0.41,0.53,0.47
395134,77,Stockton,CA,0.50,0.42,0.36,0.26,0.22,0.14,0.14,0.22,0.22,0.18,0.37,0.56,0.59,0.48
394440,78,Cape Coral,FL,0.79,0.77,0.74,0.71,0.69,0.43,0.43,0.44,0.44,0.40,0.52,0.65,0.71,0.71
394399,79,Boise City,ID,0.16,0.16,0.15,0.16,0.16,0.15,0.22,0.40,0.41,0.26,0.45,0.64,0.64,0.54
394484,80,Colorado Springs,CO,0.42,0.37,0.37,0.32,0.26,0.15,0.16,0.24,0.24,0.15,0.31,0.47,0.53,0.44
394798,81,Little Rock,AR,0.63,0.63,0.57,0.53,0.50,0.41,0.33,0.33,0.33,0.28,0.30,0.42,0.50,0.43
394766,82,Lakeland,FL,0.62,0.57,0.54,0.52,0.55,0.44,0.33,0.34,0.35,0.29,0.36,0.53,0.61,0.60
394304,83,Akron,OH,0.64,0.56,0.45,0.43,0.48,0.35,0.28,0.36,0.38,0.28,0.28,0.44,0.55,0.49
394531,84,Des Moines,IA,0.67,0.60,0.54,0.51,0.51,0.37,0.30,0.45,0.49,0.33,0.35,0.52,0.64,0.56
395115,85,Springfield,MA,0.60,0.52,0.42,0.36,0.39,0.28,0.20,0.26,0.30,0.20,0.19,0.31,0.41,0.39
845159,86,Poughkeepsie,NY,0.49,0.47,0.47,0.49,0.47,0.47,0.44,0.51,0.57,0.57,0.49,0.59,0.65,0.49
394931,87,Ogden,UT,0.46,0.35,0.33,0.24,0.21,0.15,0.16,0.23,0.23,0.17,0.35,0.55,0.58,0.51
394816,88,Madison,WI,0.57,0.43,0.34,0.34,0.35,0.20,0.17,0.30,0.31,0.14,0.18,0.37,0.47,0.30
395235,89,Winston,NC,0.60,0.52,0.49,0.44,0.43,0.31,0.28,0.31,0.33,0.25,0.29,0.42,0.51,0.46
394528,90,Deltona,FL,0.69,0.67,0.66,0.60,0.60,0.52,0.43,0.48,0.51,0.42,0.49,0.62,0.70,0.69
